school,sex,age,Pstatus,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,por_absences,por_G1,por_G2,por_G3,mat_absences,mat_G1,mat_G2,mat_G3
GP,F,18,A,4,4,2,2,0,4,3,4,1,1,3,4,0,11,11,6,5,6,6
GP,F,17,T,1,1,1,2,0,5,3,3,1,1,3,2,9,11,11,4,5,5,6
GP,F,17,T,1,1,1,2,0,5,3,3,1,1,3,2,9,11,11,0,8,8,9
GP,F,15,T,4,2,1,3,0,3,2,2,1,1,5,0,14,14,14,2,15,14,15
GP,F,16,T,3,3,1,2,0,4,3,2,1,2,5,0,11,13,13,4,6,10,10
GP,M,16,T,4,3,1,2,0,5,4,2,1,2,5,6,12,12,13,10,15,15,15
GP,M,16,T,2,2,1,2,0,4,4,4,1,1,3,0,13,12,13,0,12,12,11
GP,F,17,A,4,4,2,2,0,4,1,4,1,1,1,2,10,13,13,6,6,5,6
GP,M,15,A,3,2,1,2,0,4,2,2,1,1,1,0,15,16,17,0,16,18,19
GP,M,15,T,3,4,1,2,0,5,5,1,1,1,5,0,12,12,13,0,14,15,15
GP,F,15,T,4,4,1,2,0,3,3,3,1,2,2,2,14,14,14,0,10,8,9
GP,F,15,T,2,1,3,3,0,5,2,2,1,1,4,0,10,12,13,4,10,12,12
GP,M,15,T,4,4,1,1,0,4,3,3,1,3,5,0,12,13,12,2,14,14,14
GP,M,15,T,4,3,2,2,0,5,4,3,1,2,3,0,12,12,13,2,10,10,11
GP,M,15,A,2,2,1,3,0,4,5,2,1,1,3,0,14,14,15,0,14,16,16
GP,F,16,T,4,4,1,1,0,4,4,4,1,2,2,6,17,17,17,4,14,14,14
GP,F,16,T,4,4,1,3,0,3,2,3,1,2,2,10,13,13,14,6,13,14,14
GP,F,16,T,3,3,3,2,0,5,3,2,1,1,4,2,13,14,14,4,8,10,10
GP,M,17,T,3,2,1,1,3,5,5,5,2,4,5,2,8,8,7,16,6,5,5
GP,M,16,T,4,3,1,1,0,3,1,3,1,3,5,6,12,12,12,4,8,10,10
GP,M,15,T,4,3,1,2,0,4,4,1,1,1,1,0,12,13,14,0,13,14,15
GP,M,15,T,4,4,1,1,0,5,4,2,1,1,5,0,11,12,12,0,12,15,15
GP,M,16,T,4,2,1,2,0,4,5,1,1,3,5,0,12,13,14,2,15,15,16
GP,M,16,T,2,2,2,2,0,5,4,4,2,4,5,2,10,10,10,0,13,13,12
GP,F,15,T,2,4,1,3,0,4,3,2,1,1,5,2,10,11,10,2,10,9,8
GP,M,15,T,2,2,1,1,0,4,2,2,1,2,5,8,11,12,12,2,12,12,11
GP,M,15,T,4,2,1,1,0,2,2,4,2,4,1,0,11,11,11,4,15,16,15
GP,M,16,A,3,4,1,2,0,5,3,3,1,1,5,2,12,12,13,4,11,11,11
GP,M,16,T,4,4,1,2,0,4,4,5,5,5,5,4,12,11,12,16,10,12,11
GP,M,15,T,4,4,1,2,0,5,4,2,3,4,5,0,10,11,11,0,9,11,12
GP,M,15,T,4,4,2,2,0,4,3,1,1,1,5,2,15,15,15,0,17,16,17
GP,M,15,T,4,3,1,2,0,4,5,2,1,1,5,0,13,14,15,0,17,16,16
GP,M,15,T,3,3,1,2,0,5,3,2,1,1,2,0,13,12,12,0,8,10,12
GP,M,16,T,3,2,1,1,0,5,4,3,1,1,5,4,12,12,12,0,12,14,15
GP,F,15,T,2,3,2,1,0,3,5,1,1,1,5,4,11,11,11,0,8,7,6
GP,M,15,T,4,3,1,3,0,5,4,3,1,1,4,0,14,14,14,2,15,16,18
GP,M,16,A,4,4,2,3,0,2,4,3,1,1,5,4,13,13,13,7,15,16,15
GP,F,15,T,3,4,1,3,0,4,3,2,1,1,5,2,11,12,12,2,12,12,11
GP,F,15,T,2,2,1,1,0,4,3,1,1,1,2,8,14,13,12,8,14,13,13
GP,M,15,T,4,4,1,1,0,5,4,3,2,4,5,8,10,11,11,8,12,12,12
GP,M,15,T,4,4,1,2,0,4,3,3,1,1,5,0,14,15,15,2,19,18,18
GP,M,15,T,2,2,1,1,0,5,4,1,1,1,1,0,9,10,10,0,8,8,11
GP,F,16,T,2,2,2,2,1,4,3,3,2,2,5,14,10,11,11,14,10,10,9
GP,F,15,A,4,3,1,2,0,5,2,2,1,1,5,4,10,11,11,8,8,8,6
GP,F,16,A,3,3,1,2,0,2,3,5,1,4,3,6,13,12,13,12,11,12,11
GP,M,16,T,4,3,1,4,0,4,2,2,1,1,2,2,17,17,17,4,19,19,20
GP,M,15,T,4,2,1,2,0,4,3,3,2,2,5,4,11,12,13,2,15,15,14
GP,F,16,T,2,2,3,2,0,4,3,3,2,3,4,0,14,13,13,2,12,13,13
GP,F,15,T,4,2,1,2,0,4,3,3,1,1,5,0,16,14,16,2,11,13,13
GP,F,15,T,4,4,1,1,0,3,3,4,2,3,5,0,13,12,12,0,8,10,11
GP,F,15,A,3,3,1,1,0,5,3,4,4,4,1,0,13,12,13,6,10,13,13
GP,F,16,A,2,1,1,2,0,5,3,4,1,1,2,2,12,13,12,8,8,9,10
GP,F,15,A,4,3,1,2,0,4,3,2,1,1,1,0,15,14,15,0,14,15,15
GP,M,15,T,4,4,1,2,0,3,2,2,1,1,5,8,15,15,16,4,14,15,15
GP,M,15,T,1,2,1,2,0,4,3,2,1,1,5,0,14,13,14,2,9,10,9
GP,F,16,T,4,2,1,2,0,4,2,3,1,1,5,2,16,15,16,2,15,16,16
GP,F,16,T,4,4,1,2,0,2,4,4,2,3,4,0,17,16,16,6,10,11,11
GP,F,16,T,1,1,4,1,0,5,5,5,5,5,5,0,10,10,16,6,10,8,11
GP,F,16,T,1,2,1,2,0,4,4,3,1,1,1,0,13,13,10,4,8,10,9
GP,F,16,T,4,3,1,3,0,3,4,4,2,4,4,0,14,13,13,2,10,9,9
GP,F,15,T,4,3,1,2,0,4,4,4,2,4,2,0,13,12,12,0,10,10,10
GP,F,16,T,4,3,3,2,0,5,4,3,1,2,1,2,16,15,16,2,16,15,15
GP,M,15,A,4,4,1,4,0,1,3,3,5,5,3,0,11,12,12,4,13,13,12
GP,F,16,T,3,1,1,4,0,4,3,3,1,2,5,0,10,9,10,4,7,7,6
GP,F,15,T,2,2,2,2,0,4,1,3,1,3,4,0,11,10,11,2,8,9,8
GP,F,15,T,3,1,2,4,0,4,4,2,2,3,3,6,15,15,15,12,16,16,16
GP,M,16,T,3,1,2,4,0,4,3,2,1,1,5,2,13,11,11,0,13,15,15
GP,M,15,T,4,2,1,4,0,3,3,3,1,1,3,0,11,9,10,0,10,10,10
GP,M,16,T,3,1,1,1,0,5,3,2,2,2,5,0,13,13,14,2,12,12,14
GP,F,16,T,3,3,1,2,0,4,3,3,2,4,5,4,11,11,11,54,11,12,11
GP,M,15,T,4,3,1,2,0,4,3,3,2,3,5,0,11,11,11,6,9,9,10
GP,M,15,T,4,0,2,4,0,3,4,3,1,1,1,0,12,11,11,8,11,11,10
GP,F,16,T,2,2,1,4,0,5,2,3,1,3,3,1,13,13,13,0,11,11,11
GP,M,17,T,2,1,2,1,3,4,5,1,1,1,3,0,9,9,10,2,8,8,10
GP,F,16,T,3,4,1,2,0,2,4,3,1,2,3,14,12,11,11,12,5,5,5
GP,M,15,T,2,3,1,1,0,3,2,2,1,3,3,0,11,11,12,2,10,12,12
GP,M,15,T,2,3,1,3,0,5,3,2,1,2,5,2,10,9,9,4,11,10,11
GP,F,15,T,3,2,1,2,0,4,4,4,1,1,5,4,12,11,11,10,7,6,6
GP,M,15,T,2,2,2,2,0,5,3,3,1,3,4,2,13,12,13,4,15,15,15
GP,F,15,T,1,1,1,2,0,4,3,2,2,3,4,2,13,12,12,2,9,10,10
GP,F,16,T,2,2,1,2,0,4,3,4,1,2,2,6,13,11,11,4,8,7,6
GP,F,15,T,4,2,1,3,0,5,3,3,1,3,1,4,15,15,15,4,13,14,14
GP,M,16,A,4,4,1,2,0,4,1,3,3,5,5,6,9,9,10,18,8,6,7
GP,F,16,T,3,3,1,3,0,4,3,3,1,3,4,2,9,11,11,0,7,7,8
GP,F,15,T,4,3,1,1,0,4,5,5,1,3,1,6,14,13,13,4,16,17,18
GP,F,16,T,3,1,1,2,0,3,3,3,2,3,2,0,12,13,12,4,7,6,6
GP,F,16,T,4,2,2,2,0,5,3,3,1,1,1,2,13,14,14,0,11,10,10
GP,M,15,T,2,2,1,4,0,4,3,4,1,1,4,2,11,12,12,6,11,13,14
GP,M,16,T,4,3,2,1,0,3,3,3,1,1,4,6,9,11,11,2,11,15,15
GP,F,16,T,2,1,1,2,0,4,3,5,1,1,5,0,13,12,12,2,8,9,10
GP,F,16,T,4,4,1,1,0,5,3,4,1,2,1,4,12,13,13,6,11,14,14
GP,F,16,T,4,3,1,3,0,5,3,5,1,1,3,2,12,13,13,0,7,9,8
GP,M,16,T,4,4,1,1,0,4,5,5,5,5,4,12,9,9,8,14,7,7,5
GP,M,16,T,4,4,1,3,0,4,4,3,1,1,4,0,16,16,16,0,16,17,17
